PDB , Chain , Domains, Length, Interaction Energy, Density, Radius of Gyration,,PDB , Chain , Length, Interaction Energy, Density, Radius of Gyration
,,,,,,,,1qa4 , A ,56,0.272,0.002,80.112
,,,,,,,,1bg8 , A ,76,1.189,0.057,13.173
,,,,,,,,1aw6 , A ,43,0.519,0.044,12.179
,,,,,,,,1f81 , A ,87,1.239,0.047,13.557
,,,,,,,,2fdo , A ,89,0.968,0.024,17.373
,,,,,,,,1a3s , A ,158,1.717,0.045,17.834
,,,,,,,,1cfe , A ,135,1.705,0.058,14.602
,,,,,,,,1xdq , A ,262,2.717,0.057,19.17
,,,,,,,,100000000000000000000000000000000000000000000, A ,84,1.169,0.05,13.166
,,,,,,,,1iyr , A ,83,0.601,0.035,16.355
,,,,,,,,2etd , A ,128,1.314,0.032,18.559
,,,,,,,,1abt , A ,74,1.07,0.051,12.558
,,,,,,,,1d1n , A ,99,1.497,0.066,33.522
,,,,,,,,1x75 , A ,127,1.41,0.044,15.887
,,,,,,,,1ezr , A ,312,3.128,0.06,18.573
,,,,,,,,1sj7 , A ,167,1.676,0.038,19.903
,,,,,,,,1qhk , A ,47,0.889,0.065,10.421
,,,,,,,,1gh9 , A ,71,0.491,0.035,14.702
,,,,,,,,2ioj , A ,117,1.739,0.071,13.521
,,,,,,,,2o35 , A ,80,0.874,0.036,15.534
,,,,,,,,1jya , A ,115,1.361,0.044,15.15
,,,,,,,,1jju , B ,339,3.108,0.053,20.96
,,,,,,,,1a0r , B ,339,3.158,0.053,20.796
,,,,,,,,1jb0 , A ,740,4.402,0.035,34.275
,,,,,,,,1jj2 ,1,46,0.509,0.022,22.699
,,,,,,,,1c25 , A ,161,1.887,0.051,17.959
,,,,,,,,1k19 , A ,112,1.436,0.052,13.776
,,,,,,,,1cq3 , A ,224,2.317,0.051,18.736
,,,,,,,,1aab , A ,83,0.832,0.027,16.487
,,,,,,,,1b3u , A ,588,2.675,0.013,37.982
,,,,,,,,1lr0 , A ,123,0.989,0.03,18.763
,,,,,,,,1k8k , C ,354,3.254,0.053,21.587
,,,,,,,,1bvb , A ,211,2.073,0.042,24.328
,,,,,,,,1av5 , A ,113,1.48,0.054,15.672
,,,,,,,,1iiy , A ,101,1.272,0.045,216.729
,,,,,,,,1a6y , A ,77,1.099,0.053,12.817
,,,,,,,,1osx , A ,26,0.369,0.046,11.675
,,,,,,,,1duj , A ,187,2.036,0.048,32.364
,,,,,,,,1nyo , A ,163,2.013,0.068,13.996
,,,,,,,,1jjs , A ,42,0.73,0.051,10.244
,,,,,,,,1bt1 , A ,336,3.238,0.058,21.224
,,,,,,,,1ekj , A ,210,1.566,0.037,19.839
,,,,,,,,1a32 , A ,85,0.495,0.021,18.51
,,,,,,,,1a14 , H ,111,1.475,0.056,44.591
,,,,,,,,1kpk , A ,450,3.679,0.051,23.282
,,,,,,,,1nr3 , A ,122,1.566,0.051,14.556
,,,,,,,,1cl3 , A ,138,1.316,0.035,17.406
,,,,,,,,2g3w , A ,175,1.96,0.053,16.507
,,,,,,,,1ey1 , A ,139,1.621,0.055,100.447
,,,,,,,,1bvq , A ,139,1.443,0.039,17.252
,,,,,,,,1a5v , A ,146,1.6,0.048,17.347
,,,,,,,,2hg6 , A ,106,1.24,0.04,24.654
,,,,,,,,1kdx , A ,81,1.091,0.042,22.392
,,,,,,,,1lkt , A ,104,1.283,0.045,34.847
,,,,,,,,1wdj , A ,186,1.996,0.055,17.449
,,,,,,,,1mkc , A ,43,0.707,0.06,14.105
,,,,,,,,2fiy , A ,285,2.749,0.053,21.639
,,,,,,,,1d1r , A ,83,1.117,0.048,13.096
,,,,,,,,1hno , A ,248,2.56,0.054,19.135
,,,,,,,,11ba , A ,131,1.254,0.029,17.703
,,,,,,,,2p06 , A ,82,1.067,0.039,15.367
,,,,,,,,1ass , A ,152,1.048,0.043,17.732
,,,,,,,,1c3k , A ,143,1.801,0.061,14.952
,,,,,,,,1afv , A ,151,1.668,0.043,19.872
,,,,,,,,1az0 , A ,237,2.264,0.039,19.34
,,,,,,,,1ijx , A ,125,1.584,0.051,15.99
,,,,,,,,1bxi , A ,83,1.238,0.056,13.322
,,,,,,,,2iay , A ,120,1.481,0.053,14.762
,,,,,,,,1lpv , A ,52,0.626,0.038,25.386
,,,,,,,,1csm , A ,252,2.332,0.041,24.424
,,,,,,,,1a0s , P ,413,3.273,0.042,22.969
,,,,,,,,1q1l , A ,331,3.009,0.047,21.61
,,,,,,,,1qqv , A ,67,1.046,0.054,11.72
,,,,,,,,1b6f , A ,159,1.783,0.046,43.286
,,,,,,,,1aca , A ,86,1.249,0.055,20.782
,,,,,,,,1mwp , A ,96,1.354,0.056,13.65
,,,,,,,,1al0 ,1,143,1.782,0.056,20.645
,,,,,,,,1c8d , A ,548,3.464,0.028,30.656
,,,,,,,,100000000000000000000000000000000000000000000000000000000000000000000, A ,70,1.166,0.066,10.786
,,,,,,,,1o8r , A ,94,1.35,0.057,17.372
,,,,,,,,1vqr , A ,278,2.555,0.05,19.488
,,,,,,,,121p , A ,166,2.074,0.06,15.347
,,,,,,,,1m9o , A ,40,0.588,0.04,59.488
,,,,,,,,1poi , B ,260,2.568,0.053,18.984
,,,,,,,,1j57 , A ,143,1.793,0.05,15.868
,,,,,,,,1jma , A ,261,2.576,0.049,19.72
,,,,,,,,2gr7 , A ,101,0.619,0.016,22.282
,,,,,,,,1ecm , A ,91,1.007,0.025,17.319
,,,,,,,,1dgp , A ,290,2.643,0.046,20.242
,,,,,,,,1c44 , A ,123,1.617,0.057,14.077
,,,,,,,,1olg , A ,42,0.53,0.019,18.536
,,,,,,,,1xrs , A ,516,3.964,0.048,26.096
,,,,,,,,1eo0 , A ,77,1.225,0.065,11.635
,,,,,,,,1a05 , A ,357,3.039,0.05,21.401
,,,,,,,,1x6m , A ,196,1.977,0.046,18.222
,,,,,,,,2qw6 , A ,85,1.309,0.066,11.945
,,,,,,,,1a7t , A ,227,2.4,0.061,17.335
,,,,,,,,1ghh , A ,81,1.134,0.046,12.85
,,,,,,,,2hqv , A ,167,1.58,0.04,17.858
,,,,,,,,1apj , A ,74,1.147,0.065,39.649
,,,,,,,,1k6k , A ,142,1.623,0.051,23.661
,,,,,,,,1adn , A ,92,0.628,0.028,17.108
,,,,,,,,1jfm , A ,174,1.858,0.044,20.761
,,,,,,,,1beg , A ,98,1.305,0.048,21.909
,,,,,,,,1i4s , A ,147,1.666,0.05,15.749
,,,,,,,,1hn6 , A ,110,0.451,0.008,35.464
,,,,,,,,1bs4 , A ,168,1.777,0.052,18.725
,,,,,,,,1agq , A ,91,0.898,0.021,18.962
,,,,,,,,1vf5 , A ,202,1.691,0.03,23.435
,,,,,,,,3h0n , A ,192,1.981,0.047,17.565
,,,,,,,,1jtk , A ,131,1.738,0.058,17.843
,,,,,,,,1vcc , A ,77,1.179,0.055,14.764
,,,,,,,,1tba , A ,67,0.909,0.036,23.259
,,,,,,,,1wvk , A ,86,0.578,0.011,22.051
,,,,,,,,1jrm , A ,104,1.574,0.069,19.495
,,,,,,,,1a4y , A ,460,3.057,0.032,25.29
,,,,,,,,1p4p , A ,140,1.57,0.045,16.544
,,,,,,,,1u77 , A ,374,3.542,0.06,20.557
,,,,,,,,1b2i , A ,83,1.268,0.061,11.952
,,,,,,,,1bpr , A ,173,1.927,0.049,17.208
,,,,,,,,1tk1 , A ,221,2.116,0.041,19.367
,,,,,,,,1eww , A ,90,1.368,0.068,55.518
,,,,,,,,1a39 , A ,401,3.374,0.053,21.103
,,,,,,,,1f08 , A ,148,1.862,0.056,15.302
,,,,,,,,1a1x , A ,106,1.45,0.052,14.789
,,,,,,,,1bh5 , A ,177,1.698,0.032,22.673
,,,,,,,,1bx7 , A ,51,0.7,0.032,15.638
,,,,,,,,1aa1 , C ,123,1.456,0.041,16.914
,,,,,,,,1co4 , A ,42,0.389,0.039,12.1
,,,,,,,,1pbj , A ,121,1.45,0.051,14.817
,,,,,,,,1nig , A ,150,1.598,0.043,16.85
,,,,,,,,1bam , A ,200,2.13,0.052,16.753
,,,,,,,,1eq6 , A ,189,2.102,0.051,17.174
,,,,,,,,1d0q , A ,102,1.185,0.043,15.174
,,,,,,,,1aq3 , A ,129,1.352,0.028,21.492
,,,,,,,,1auz , A ,116,1.585,0.062,12.909
,,,,,,,,1jk4 , A ,79,1.22,0.067,13.192
,,,,,,,,1aiq , A ,263,2.527,0.05,18.664
,,,,,,,,1te7 , A ,103,1.289,0.055,13.223
,,,,,,,,1bwd , A ,348,3.341,0.06,22.406
,,,,,,,,1c3p , A ,372,3.51,0.06,20.702
,,,,,,,,2b1y , A ,102,0.783,0.012,21.791
,,,,,,,,1b4b , A ,71,1.151,0.064,12.056
,,,,,,,,1cby , A ,227,2.251,0.046,19.353
,,,,,,,,1n0z , A ,45,0.575,0.047,11.269
,,,,,,,,1u89 , A ,139,1.469,0.037,17.291
,,,,,,,,2jlh , A ,117,1.543,0.062,13.699
,,,,,,,,1cc1 , L ,487,4.067,0.055,22.619
,,,,,,,,2hfq , A ,85,1.228,0.054,12.68
,,,,,,,,1qys , A ,91,1.304,0.056,12.434
,,,,,,,,1ekg , A ,119,1.532,0.053,14.169
,,,,,,,,1cqu , A ,56,0.633,0.046,13.062
,,,,,,,,1h0z , A ,68,0.618,0.032,20.992
,,,,,,,,1a68 , A ,87,1.232,0.054,12.734
,,,,,,,,1h3l , A ,75,1.06,0.048,13.511
,,,,,,,,1tlj , A ,189,1.644,0.034,20.216
,,,,,,,,1nwb , A ,101,1.41,0.051,13.586
,,,,,,,,1pc6 , A ,141,0.889,0.021,22.014
,,,,,,,,1mhd , A ,123,1.669,0.059,13.991
,,,,,,,,1s9u , A ,198,2.112,0.05,16.956
,,,,,,,,1rh5 , A ,410,3.39,0.043,23.637
,,,,,,,,1akd , A ,405,3.375,0.048,21.826
,,,,,,,,1ryk , A ,69,1.113,0.057,11.603
,,,,,,,,1okc , A ,292,2.565,0.042,20.402
,,,,,,,,1gpc , A ,218,1.599,0.034,25.76
,,,,,,,,1a6s , A ,87,1.382,0.071,11.593
,,,,,,,,1r44 , A ,202,2.264,0.057,16.253
,,,,,,,,1fqy , A ,226,2.369,0.051,18.317
,,,,,,,,1auu , A ,55,0.692,0.052,17.538
,,,,,,,,1r2m , A ,72,1.256,0.077,10.673
,,,,,,,,1jx7 , A ,114,1.554,0.057,16.532
,,,,,,,,1arq , A ,53,0.703,0.027,13.349
,,,,,,,,1buh , B ,70,0.991,0.052,12.208
,,,,,,,,1ev0 , A ,58,0.746,0.028,18.721
,,,,,,,,1hyw , A ,58,0.942,0.058,11.482
,,,,,,,,1d2t , A ,222,2.282,0.053,20.311
,,,,,,,,1lb4 , A ,155,1.619,0.042,16.663
,,,,,,,,1d8h , A ,288,2.098,0.04,22.063
,,,,,,,,1i1q , A ,512,4.111,0.051,25.439
,,,,,,,,1a0o , A ,128,1.744,0.064,13.784
,,,,,,,,1du2 , A ,76,0.81,0.023,18.021
,,,,,,,,1a19 , A ,89,1.285,0.059,15.992
,,,,,,,,1g2r , A ,98,1.403,0.055,13.402
,,,,,,,,1agm , A ,470,3.951,0.058,21.369
,,,,,,,,1cm5 , A ,760,5.278,0.054,29.605
,,,,,,,,1fqj , C ,38,0.628,0.044,14.308
,,,,,,,,1daq , A ,71,1.073,0.058,12.032
,,,,,,,,1kf6 , C ,130,1.118,0.015,23.696
,,,,,,,,1ckq , A ,261,1.805,0.036,21.477
,,,,,,,,1tdp , A ,111,1.517,0.058,13.363
,,,,,,,,1a34 , A ,147,0.54,0.025,65.609
,,,,,,,,2ikb , A ,158,1.679,0.048,18.263
,,,,,,,,1mog , A ,67,0.937,0.041,13.532
,,,,,,,,1a7x , A ,107,1.395,0.054,14.419
,,,,,,,,1l6e , A ,45,0.423,0.024,18.931
,,,,,,,,1gak , A ,137,1.491,0.042,17.128
,,,,,,,,1emw , A ,88,1.152,0.046,14.18
,,,,,,,,1a7w , A ,68,0.718,0.023,15.624
,,,,,,,,1njh , A ,107,1.402,0.055,13.576
,,,,,,,,1b9g , A ,57,1.032,0.069,10.117
,,,,,,,,1e0g , A ,48,0.856,0.062,10.45
,,,,,,,,2fi0 , A ,79,1.145,0.061,12.422
,,,,,,,,1o6a , A ,89,0.823,0.026,17.756
,,,,,,,,1hyk , A ,46,0.684,0.052,11.312
,,,,,,,,1fx3 , A ,143,1.37,0.032,20.962
,,,,,,,,1dd1 , A ,221,2.148,0.047,18.367
,,,,,,,,2i9x , A ,81,1.146,0.043,16.274
,,,,,,,,2hly , A ,206,2.241,0.053,17.433
,,,,,,,,117e , A ,282,2.829,0.055,19.02
,,,,,,,,1h1j , S ,44,0.726,0.06,32.528
,,,,,,,,1hq0 , A ,295,3.01,0.061,18.348
,,,,,,,,1fgp , A ,70,1.16,0.065,11.585
,,,,,,,,1dv0 , A ,45,0.847,0.068,31.904
,,,,,,,,2f6s , A ,176,2.115,0.057,16.2
,,,,,,,,1jsu , C ,69,0.501,0.009,21.869
,,,,,,,,2iaz , A ,105,0.954,0.021,18.47
,,,,,,,,1rfz , A ,161,1.899,0.052,16.356
,,,,,,,,1p88 , A ,216,2.426,0.071,15.43
,,,,,,,,1a92 , A ,50,0.464,0.01,21.162
,,,,,,,,1t50 , A ,58,0.927,0.052,11.236
,,,,,,,,1q6a , A ,107,1.311,0.037,18.673
,,,,,,,,1d0g , A ,151,1.528,0.043,17.531
,,,,,,,,1b69 , A ,69,0.906,0.044,15.689
,,,,,,,,2in5 , A ,190,1.914,0.045,17.583
,,,,,,,,1by1 , A ,209,1.808,0.031,20.607
,,,,,,,,1dcj , A ,81,1.29,0.068,11.497
,,,,,,,,1vpu , A ,45,0.872,0.07,31.418
,,,,,,,,1bcp , A ,224,2.305,0.05,18.408
,,,,,,,,1cw0 , A ,155,1.464,0.044,16.668
,,,,,,,,1lre , A ,81,1.025,0.041,13.724
,,,,,,,,1qhl , A ,203,2.284,0.056,16.778
,,,,,,,,1iie , A ,75,0.505,0.017,18.624
,,,,,,,,1vgg , A ,159,0.755,0.041,18.005
,,,,,,,,1fvl , A ,70,0.856,0.032,14.844
,,,,,,,,1aew , A ,170,1.614,0.034,19.031
,,,,,,,,1ay2 , A ,157,0.668,0.03,20.815
,,,,,,,,1huf , A ,123,1.639,0.061,14.386
,,,,,,,,1aa3 , A ,63,1.086,0.063,11.01
,,,,,,,,1sed , A ,113,1.171,0.032,18.076
,,,,,,,,10000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000, A ,85,0.898,0.035,14.848
,,,,,,,,1alq , A ,259,2.578,0.057,17.922
,,,,,,,,1hl6 , A ,119,0.666,0.024,20.452
,,,,,,,,2ic8 , A ,182,2.057,0.054,17.324
,,,,,,,,1gpq , A ,127,1.552,0.059,14.674
,,,,,,,,1j7g , A ,144,1.742,0.053,15.356
,,,,,,,,1aci , A ,76,1.051,0.039,13.688
,,,,,,,,1cwx , A ,44,0.396,0.014,16.412
,,,,,,,,1cop , D ,66,0.647,0.04,21.764
,,,,,,,,1ceu , A ,51,0.539,0.017,15.687
,,,,,,,,1c9q , A ,117,0.614,0.022,102.377
,,,,,,,,1a17 , A ,159,0.648,0.016,27.354
,,,,,,,,1co0 , A ,105,0.996,0.027,33.644
,,,,,,,,1hhn , A ,101,0.847,0.016,22.775
,,,,,,,,1exk , A ,79,0.848,0.021,26.096
,,,,,,,,1lsh , B ,178,1.535,0.025,23.007
,,,,,,,,1o65 , A ,218,2.345,0.052,20.489
,,,,,,,,1agg , A ,48,0.773,0.059,12.54
,,,,,,,,1h7d , A ,49,0.395,0.007,26.234
,,,,,,,,1bbi , A ,71,0.846,0.038,14.139
,,,,,,,,1f6v , A ,91,1.241,0.046,15.971
,,,,,,,,1a4h , A ,214,2.292,0.051,17.204
,,,,,,,,1mkn , A ,59,0.817,0.037,21.148
,,,,,,,,1avq , A ,228,2.224,0.046,25.397
,,,,,,,,1nc7 , A ,113,1.37,0.044,15.399
,,,,,,,,1b1u , A ,117,1.605,0.059,13.388
,,,,,,,,1ahl , A ,49,0.703,0.058,10.797
,,,,,,,,1bgf , A ,124,1.22,0.044,16.667
,,,,,,,,1dmw , A ,307,3.008,0.055,18.967
,,,,,,,,1ryl , A ,157,1.793,0.051,16.324
,,,,,,,,1eik , A ,77,0.778,0.039,14.245
,,,,,,,,1aom , A ,439,3.815,0.056,21.286
,,,,,,,,1iwl , A ,177,1.879,0.053,16.297
,,,,,,,,102l , A ,162,1.543,0.044,16.925
,,,,,,,,1b79 , A ,102,1.478,0.064,13.099
,,,,,,,,1fre , A ,39,0.506,0.067,9.326
,,,,,,,,1iq4 , A ,179,1.779,0.04,18.014
,,,,,,,,1a0c , A ,437,2.561,0.04,25.261
,,,,,,,,1acb , I ,63,1.028,0.056,11.445
,,,,,,,,1bxe , A ,108,0.955,0.033,17.902
,,,,,,,,1dzu , P ,209,2.188,0.053,18.421
,,,,,,,,1lmz , A ,187,1.909,0.041,18.362
,,,,,,,,2icg , A ,161,1.993,0.058,15.145
,,,,,,,,2q22 , A ,129,1.652,0.054,14.838
,,,,,,,,2gjv , A ,136,1.39,0.04,18.739
,,,,,,,,1dev , A ,194,1.97,0.049,20.683
,,,,,,,,1l7v , A ,313,2.96,0.05,23.183
,,,,,,,,1gd5 , A ,130,1.567,0.043,29.595
,,,,,,,,1nxh , A ,119,1.085,0.025,19.361
,,,,,,,,1ah7 , A ,245,2.557,0.055,18.445
,,,,,,,,1ccd , A ,77,0.784,0.033,14.804
,,,,,,,,1avv , A ,99,1.363,0.053,16.195
,,,,,,,,1j8b , A ,88,0.896,0.023,18.555
,,,,,,,,1fd3 , A ,41,0.808,0.075,10.486
,,,,,,,,2psb , A ,287,2.896,0.057,18.983
,,,,,,,,1a7h , A ,86,1.24,0.069,16.401
,,,,,,,,1a0b , A ,117,1.38,0.046,16.898
,,,,,,,,1a43 , A ,72,1.05,0.056,12.073
,,,,,,,,1g8q , A ,90,0.991,0.052,13.983
,,,,,,,,1e8p , A ,46,0.927,0.073,9.447
,,,,,,,,1erz , A ,303,3.004,0.056,21.178
