PDB ,  Chain ,  Domains ,  Length ,  No. of buried residues ,  Pairwise intersection with k=1 ,  k=2 ,  k=3 ,  k=4
1fvg , A , 1 , 189 ,  57 ,  0 ,  20 ,  34 ,  56

2gjv , A , 1 , 136 ,  50 ,  0 ,  5 ,  25 ,  54

1ibt , C , 1 , 76 ,  36 ,  0 ,  0 ,  8 ,  26

1wfe , A , 1 , 86 ,  5 ,  0 ,  1 ,  3 ,  6

1xn8 , A , 1 , 131 ,  24 ,  0 ,  2 ,  27 ,  41

2fi0 , A , 1 , 79 ,  20 ,  0 ,  15 ,  39 ,  84

3kic , A , 1 , 520 ,  279 ,  0 ,  0 ,  0 ,  1

1oqj , A , 1 , 90 ,  21 ,  0 ,  17 ,  36 ,  70

1rg8 , A , 1 , 141 ,  42 ,  0 ,  22 ,  49 ,  69

1tt8 , A , 1 , 164 ,  49 ,  0 ,  11 ,  37 ,  70

2i3f , A , 1 , 211 ,  72 ,  0 ,  11 ,  35 ,  64

2h5n , C , 1 , 125 ,  45 ,  0 ,  21 ,  57 ,  96

1aks , A , 1 , 125 ,  42 ,  0 ,  22 ,  42 ,  35

1w33 , B , 1 , 180 ,  50 ,  0 ,  0 ,  2 ,  19

1pi1 , A , 1 , 185 ,  44 ,  0 ,  11 ,  20 ,  39

1u89 , A , 1 , 139 ,  34 ,  0 ,  3 ,  18 ,  31

1gpr , A , 1 , 158 ,  43 ,  0 ,  19 ,  34 ,  64

2rdk , A , 1 , 104 ,  24 ,  0 ,  6 ,  21 ,  55

1gd8 , A , 1 , 105 ,  35 ,  0 ,  10 ,  36 ,  64

1jsu , C , 1 , 69 ,  13 ,  0 ,  0 ,  0 ,  0

2pv4 , A , 1 , 146 ,  30 ,  0 ,  8 ,  22 ,  48

1oo0 , A , 1 , 144 ,  41 ,  0 ,  10 ,  19 ,  36

1wk2 , A , 1 , 82 ,  14 ,  0 ,  7 ,  27 ,  44

1s9u , A , 1 , 198 ,  61 ,  0 ,  12 ,  21 ,  42

1cxq , A , 1 , 144 ,  36 ,  0 ,  9 ,  29 ,  45

1skn , P , 1 , 74 ,  11 ,  0 ,  0 ,  25 ,  52

1lr5 , B , 1 , 159 ,  54 ,  0 ,  9 ,  16 ,  53

2icu , A , 1 , 207 ,  64 ,  0 ,  9 ,  33 ,  56

2dc4 , A , 1 , 164 ,  48 ,  0 ,  2 ,  16 ,  32

2c36 , A , 1 , 274 ,  89 ,  0 ,  5 ,  18 ,  32

1i71 , A , 1 , 83 ,  19 ,  0 ,  11 ,  33 ,  60

1q60 , A , 1 , 99 ,  16 ,  0 ,  3 ,  12 ,  25

3hms , A , 1 , 96 ,  20 ,  0 ,  20 ,  42 ,  77

1jvr , A , 1 , 137 ,  10 ,  0 ,  11 ,  33 ,  66

1p4p , A , 1 , 140 ,  23 ,  0 ,  3 ,  16 ,  30

1jw2 , A , 1 , 72 ,  7 ,  0 ,  3 ,  9 ,  21

1hcc , A , 1 , 59 ,  6 ,  0 ,  3 ,  10 ,  22

1mp1 , A , 1 , 111 ,  25 ,  0 ,  12 ,  30 ,  62

1jyh , A , 1 , 155 ,  39 ,  0 ,  8 ,  25 ,  36

1so9 , A , 1 , 131 ,  26 ,  0 ,  0 ,  14 ,  32

1ft5 , A , 1 , 211 ,  28 ,  0 ,  2 ,  7 ,  8

1yew , B , 1 , 238 ,  125 ,  0 ,  0 ,  10 ,  10

1t07 , A , 1 , 78 ,  12 ,  0 ,  3 ,  13 ,  28

1o8r , A , 1 , 94 ,  13 ,  0 ,  10 ,  25 ,  46

1v2b , B , 1 , 151 ,  41 ,  0 ,  17 ,  37 ,  65

2jfr , A , 1 , 269 ,  84 ,  0 ,  21 ,  36 ,  53

3c8i , A , 1 , 127 ,  34 ,  0 ,  15 ,  38 ,  66

1yoz , A , 1 , 113 ,  31 ,  0 ,  5 ,  19 ,  44

1hn6 , A , 1 , 110 ,  5 ,  0 ,  4 ,  2 ,  0

1zzk , A , 1 , 82 ,  15 ,  0 ,  8 ,  22 ,  45

1jos , A , 1 , 102 ,  17 ,  0 ,  7 ,  20 ,  32

3g0m , A , 1 , 139 ,  36 ,  0 ,  14 ,  37 ,  69

1tlj , A , 1 , 189 ,  64 ,  0 ,  1 ,  18 ,  38

3bei , A , 1 , 41 ,  12 ,  0 ,  1 ,  2 ,  5

1nr3 , A , 1 , 122 ,  15 ,  0 ,  7 ,  20 ,  36

1jw3 , A , 1 , 140 ,  28 ,  0 ,  10 ,  21 ,  46

1v3w , A , 1 , 176 ,  51 ,  0 ,  16 ,  31 ,  57

1f9v , A , 1 , 313 ,  104 ,  0 ,  6 ,  16 ,  30

2nwf , A , 1 , 148 ,  43 ,  0 ,  16 ,  41 ,  65

1v54 , F , 1 , 98 ,  20 ,  0 ,  0 ,  2 ,  12

2vqe , N , 1 , 60 ,  16 ,  0 ,  3 ,  11 ,  37

1byr , A , 1 , 152 ,  50 ,  0 ,  17 ,  42 ,  61

1t60 , D , 1 , 224 ,  112 ,  0 ,  3 ,  12 ,  38

2hd9 , A , 1 , 145 ,  39 ,  0 ,  13 ,  29 ,  59

1ah7 , A , 1 , 245 ,  92 ,  0 ,  11 ,  31 ,  60

3hqf , A , 1 , 173 ,  52 ,  0 ,  8 ,  23 ,  57

2ciw , A , 1 , 305 ,  102 ,  0 ,  4 ,  14 ,  25

3a38 , A , 1 , 98 ,  10 ,  0 ,  6 ,  21 ,  40

1fgp , A , 1 , 70 ,  12 ,  0 ,  11 ,  30 ,  55

1got , G , 1 , 58 ,  12 ,  0 ,  0 ,  0 ,  1

2isb , A , 1 , 190 ,  56 ,  0 ,  12 ,  36 ,  68

3dnj , B , 1 , 90 ,  23 ,  0 ,  13 ,  43 ,  79

2hly , A , 1 , 206 ,  63 ,  0 ,  12 ,  33 ,  46

1abv , A , 1 , 105 ,  24 ,  0 ,  11 ,  32 ,  61

1kmx , A , 1 , 55 ,  2 ,  0 ,  1 ,  3 ,  6

2hi7 , B , 1 , 134 ,  14 ,  0 ,  2 ,  9 ,  14

1bct , A , 1 , 69 ,  1 ,  0 ,  4 ,  12 ,  24

1uuy , A , 1 , 162 ,  45 ,  0 ,  20 ,  49 ,  77

1zvp , A , 1 , 128 ,  48 ,  0 ,  4 ,  17 ,  29

1puc , A , 1 , 101 ,  10 ,  0 ,  0 ,  3 ,  24

3d7j , C , 1 , 134 ,  50 ,  0 ,  7 ,  27 ,  63

2hg6 , A , 1 , 106 ,  17 ,  0 ,  5 ,  7 ,  20

2end , A , 1 , 137 ,  32 ,  0 ,  6 ,  22 ,  39

2jne , A , 1 , 71 ,  6 ,  0 ,  0 ,  2 ,  8

1cf4 , B , 1 , 44 ,  8 ,  0 ,  0 ,  2 ,  4

1i5j , A , 1 , 67 ,  1 ,  0 ,  0 ,  0 ,  0

1trl , A , 1 , 62 ,  22 ,  0 ,  16 ,  31 ,  71

1q08 , B , 1 , 89 ,  23 ,  0 ,  0 ,  2 ,  12

3cx5 , C , 1 , 385 ,  139 ,  0 ,  0 ,  1 ,  7

2lis , A , 1 , 131 ,  25 ,  0 ,  4 ,  16 ,  35

1k6d , B , 1 , 219 ,  75 ,  0 ,  9 ,  13 ,  43

1dfu , P , 1 , 94 ,  19 ,  0 ,  11 ,  30 ,  51

1qd5 , A , 1 , 257 ,  72 ,  0 ,  2 ,  10 ,  21

1h4x , A , 1 , 110 ,  34 ,  0 ,  15 ,  46 ,  76

1o82 , A , 1 , 70 ,  19 ,  0 ,  19 ,  53 ,  90

1dj8 , A , 1 , 79 ,  22 ,  0 ,  15 ,  40 ,  70

1sdi , A , 1 , 214 ,  65 ,  0 ,  18 ,  40 ,  65

2in5 , A , 1 , 190 ,  61 ,  0 ,  7 ,  17 ,  36

1jov , A , 1 , 281 ,  88 ,  0 ,  12 ,  29 ,  42

1g8q , A , 1 , 90 ,  25 ,  0 ,  9 ,  32 ,  67

1cfa , A , 1 , 71 ,  15 ,  0 ,  10 ,  30 ,  55

1iyr , A , 1 , 83 ,  9 ,  0 ,  13 ,  15 ,  26

1iu4 , A , 1 , 331 ,  121 ,  0 ,  6 ,  5 ,  25

2bs2 , C , 1 , 256 ,  58 ,  0 ,  0 ,  0 ,  3

1cfr , A , 1 , 283 ,  84 ,  0 ,  1 ,  11 ,  22

1hhn , A , 1 , 101 ,  2 ,  0 ,  9 ,  13 ,  2

2qh9 , A , 1 , 172 ,  59 ,  0 ,  15 ,  34 ,  61

3rpz , A , 1 , 284 ,  98 ,  0 ,  16 ,  28 ,  53

1f3m , A , 1 , 70 ,  12 ,  0 ,  3 ,  14 ,  34

2hfq , A , 1 , 85 ,  17 ,  0 ,  9 ,  29 ,  49

1r0d , B , 1 , 186 ,  62 ,  0 ,  1 ,  20 ,  44

2xu3 , A , 1 , 239 ,  77 ,  0 ,  13 ,  39 ,  77

1kaf , D , 1 , 104 ,  23 ,  0 ,  12 ,  30 ,  59

2zih , B , 1 , 281 ,  100 ,  0 ,  13 ,  14 ,  41

2vxp , A , 1 , 131 ,  35 ,  0 ,  18 ,  35 ,  80

2fr5 , B , 1 , 134 ,  56 ,  0 ,  24 ,  47 ,  78

1lre , A , 1 , 81 ,  13 ,  0 ,  5 ,  13 ,  29

2vhk , A , 1 , 232 ,  65 ,  0 ,  12 ,  27 ,  58

2exe , A , 1 , 264 ,  85 ,  0 ,  8 ,  17 ,  26

2hq4 , A , 1 , 158 ,  53 ,  0 ,  11 ,  34 ,  59

1b4u , B , 1 , 298 ,  159 ,  0 ,  26 ,  38 ,  62

1k8k , E , 1 , 174 ,  55 ,  0 ,  14 ,  42 ,  51

1j0p , A , 1 , 108 ,  6 ,  0 ,  2 ,  4 ,  8

1ejx , B , 1 , 101 ,  0 ,  0 ,  1 ,  3 ,  6

1r7l , A , 1 , 103 ,  25 ,  0 ,  10 ,  31 ,  48

1t23 , A , 1 , 93 ,  20 ,  0 ,  14 ,  33 ,  46

1nz0 , D , 1 , 111 ,  28 ,  0 ,  13 ,  33 ,  57

1jad , A , 1 , 235 ,  42 ,  0 ,  0 ,  0 ,  0

1go4 , B , 1 , 195 ,  67 ,  0 ,  9 ,  25 ,  42

1dtd , B , 1 , 61 ,  14 ,  0 ,  10 ,  26 ,  52

1cq3 , A , 1 , 224 ,  71 ,  0 ,  8 ,  11 ,  35

3n4j , A , 1 , 173 ,  48 ,  0 ,  20 ,  40 ,  63

1f02 , T , 1 , 66 ,  8 ,  0 ,  0 ,  2 ,  6

3jud , A , 1 , 155 ,  36 ,  0 ,  12 ,  24 ,  46

2igs , A , 1 , 220 ,  60 ,  0 ,  9 ,  27 ,  40

1w6s , A , 1 , 595 ,  327 ,  0 ,  2 ,  7 ,  15

1v54 , M , 1 , 43 ,  9 ,  0 ,  0 ,  1 ,  6

2o11 , A , 1 , 407 ,  104 ,  0 ,  0 ,  9 ,  10

1af6 , A , 1 , 421 ,  159 ,  0 ,  0 ,  0 ,  3

2yve , B , 1 , 172 ,  54 ,  0 ,  0 ,  14 ,  32

2wqf , A , 1 , 193 ,  43 ,  0 ,  7 ,  14 ,  50

1qqh , A , 1 , 144 ,  29 ,  0 ,  2 ,  16 ,  29

1j8e , A , 1 , 44 ,  5 ,  0 ,  5 ,  15 ,  21

1t62 , B , 1 , 163 ,  0 ,  0 ,  5 ,  15 ,  30

1e44 , B , 1 , 96 ,  22 ,  0 ,  6 ,  25 ,  41

1dev , B , 1 , 41 ,  5 ,  0 ,  0 ,  0 ,  5

1vp8 , A , 1 , 183 ,  54 ,  0 ,  14 ,  33 ,  58

1jb0 , A , 1 , 740 ,  199 ,  0 ,  0 ,  0 ,  0

2za4 , B , 1 , 89 ,  30 ,  0 ,  15 ,  39 ,  77

3cla , A , 1 , 213 ,  58 ,  0 ,  5 ,  15 ,  24

3h3b , B , 1 , 191 ,  77 ,  0 ,  12 ,  33 ,  51

1jhf , B , 1 , 111 ,  24 ,  0 ,  5 ,  15 ,  39

2w15 , A , 1 , 218 ,  67 ,  0 ,  14 ,  34 ,  60

1jke , A , 1 , 145 ,  52 ,  0 ,  17 ,  37 ,  61

3bo5 , A , 1 , 275 ,  76 ,  0 ,  6 ,  19 ,  31

3c4r , A , 1 , 119 ,  33 ,  0 ,  0 ,  5 ,  21

1y0k , A , 1 , 180 ,  52 ,  0 ,  10 ,  32 ,  61

2odk , A , 1 , 61 ,  18 ,  0 ,  6 ,  26 ,  57

1rrz , A , 1 , 66 ,  9 ,  0 ,  6 ,  18 ,  35

1iqz , A , 1 , 81 ,  16 ,  0 ,  14 ,  41 ,  73

3sm4 , C , 1 , 229 ,  59 ,  0 ,  3 ,  14 ,  29

1t3y , A , 1 , 131 ,  35 ,  0 ,  17 ,  37 ,  58

1pv5 , A , 1 , 263 ,  86 ,  0 ,  0 ,  21 ,  47

1pdc , A , 1 , 45 ,  6 ,  0 ,  5 ,  16 ,  33

1yo7 , A , 1 , 120 ,  33 ,  0 ,  6 ,  24 ,  43

2ijq , A , 1 , 146 ,  39 ,  0 ,  18 ,  37 ,  63

3mhj , A , 1 , 209 ,  10 ,  0 ,  15 ,  3 ,  6

2d48 , A , 1 , 129 ,  34 ,  0 ,  11 ,  32 ,  53

1hq0 , A , 1 , 295 ,  112 ,  0 ,  12 ,  34 ,  51

1e8r , A , 1 , 50 ,  8 ,  0 ,  8 ,  24 ,  48

1wjx , A , 1 , 112 ,  26 ,  0 ,  14 ,  35 ,  59

2gz4 , C , 1 , 196 ,  74 ,  0 ,  12 ,  24 ,  51

3fgh , A , 1 , 74 ,  3 ,  0 ,  1 ,  3 ,  8

3gby , A , 1 , 130 ,  37 ,  0 ,  3 ,  20 ,  57

3ffy , A , 1 , 116 ,  30 ,  0 ,  23 ,  47 ,  91

1p71 , B , 1 , 93 ,  20 ,  0 ,  16 ,  25 ,  6

1bx7 , A , 1 , 51 ,  3 ,  0 ,  2 ,  2 ,  7

2ioj , A , 1 , 117 ,  39 ,  0 ,  29 ,  57 ,  110

3dqg , C , 1 , 151 ,  35 ,  0 ,  6 ,  16 ,  32

1hyw , A , 1 , 58 ,  10 ,  0 ,  8 ,  21 ,  37

2qv8 , A , 1 , 152 ,  37 ,  0 ,  13 ,  27 ,  57

3iqu , A , 1 , 274 ,  63 ,  0 ,  3 ,  4 ,  22

1mwp , A , 1 , 96 ,  17 ,  0 ,  9 ,  27 ,  44

2qjz , A , 1 , 117 ,  35 ,  0 ,  18 ,  50 ,  81

3ccd , A , 1 , 88 ,  25 ,  0 ,  15 ,  41 ,  94

3buu , B , 1 , 242 ,  59 ,  0 ,  4 ,  13 ,  29

1ceu , A , 1 , 51 ,  1 ,  0 ,  4 ,  12 ,  13

2r0x , A , 1 , 175 ,  35 ,  0 ,  13 ,  24 ,  43

1p35 , C , 1 , 295 ,  89 ,  0 ,  2 ,  10 ,  30

1lkk , A , 1 , 105 ,  26 ,  0 ,  13 ,  41 ,  65

1jb0 , D , 1 , 138 ,  45 ,  0 ,  0 ,  15 ,  17

2ota , A , 1 , 66 ,  15 ,  0 ,  5 ,  5 ,  8

1vqr , C , 1 , 275 ,  95 ,  0 ,  9 ,  9 ,  34

2nn5 , A , 1 , 194 ,  40 ,  0 ,  9 ,  19 ,  33

2qud , A , 1 , 140 ,  29 ,  0 ,  4 ,  6 ,  10

1yz1 , D , 1 , 144 ,  41 ,  0 ,  16 ,  36 ,  62

1sx5 , B , 1 , 238 ,  79 ,  0 ,  3 ,  3 ,  23

1jiw , I , 1 , 105 ,  29 ,  0 ,  17 ,  37 ,  71

1dsl , A , 1 , 88 ,  19 ,  0 ,  16 ,  43 ,  66

2b97 , A , 1 , 71 ,  14 ,  0 ,  13 ,  38 ,  64

2o34 , A , 1 , 241 ,  90 ,  0 ,  16 ,  16 ,  45

1e8p , A , 1 , 46 ,  7 ,  0 ,  7 ,  21 ,  42

1g6x , A , 1 , 61 ,  7 ,  0 ,  3 ,  9 ,  22

1gpp , A , 1 , 218 ,  53 ,  0 ,  0 ,  12 ,  27

1wpu , A , 1 , 147 ,  47 ,  0 ,  10 ,  29 ,  57

2b1y , A , 1 , 102 ,  1 ,  0 ,  6 ,  18 ,  36

2h3l , B , 1 , 98 ,  0 ,  0 ,  6 ,  18 ,  36

2nwl , C , 1 , 403 ,  158 ,  0 ,  0 ,  8 ,  19

3c05 , A , 1 , 59 ,  9 ,  0 ,  2 ,  6 ,  15

2g81 , I , 1 , 57 ,  10 ,  0 ,  4 ,  11 ,  22

1b4u , A , 1 , 132 ,  42 ,  0 ,  5 ,  2 ,  22

1hq1 , A , 1 , 76 ,  14 ,  0 ,  12 ,  25 ,  43

1qxy , A , 1 , 249 ,  93 ,  0 ,  8 ,  25 ,  49

1wdc , A , 1 , 64 ,  23 ,  0 ,  0 ,  0 ,  5

1ev0 , A , 1 , 58 ,  8 ,  0 ,  3 ,  8 ,  16

2g03 , A , 1 , 183 ,  49 ,  0 ,  15 ,  32 ,  62

1dvo , A , 1 , 152 ,  23 ,  0 ,  0 ,  0 ,  28

2fgq , X , 1 , 330 ,  93 ,  0 ,  0 ,  1 ,  19

1oqv , A , 1 , 171 ,  55 ,  0 ,  18 ,  46 ,  74

1co4 , A , 1 , 42 ,  4 ,  0 ,  14 ,  27 ,  24

1sig , A , 1 , 305 ,  80 ,  0 ,  0 ,  0 ,  7

2bj0 , A , 1 , 203 ,  73 ,  0 ,  1 ,  11 ,  32

3fp5 , A , 1 , 109 ,  18 ,  0 ,  3 ,  16 ,  24

1vpu , A , 1 , 45 ,  8 ,  0 ,  8 ,  24 ,  48

1f5x , A , 1 , 208 ,  48 ,  0 ,  2 ,  6 ,  17

1o6a , A , 1 , 89 ,  20 ,  0 ,  2 ,  7 ,  14

1jid , A , 1 , 114 ,  22 ,  0 ,  10 ,  26 ,  41

1rq6 , A , 1 , 62 ,  9 ,  0 ,  6 ,  22 ,  31

1ucs , A , 1 , 64 ,  13 ,  0 ,  13 ,  33 ,  66

2v9l , A , 1 , 288 ,  98 ,  0 ,  4 ,  27 ,  55

1y69 , 8 , 1 , 113 ,  11 ,  0 ,  0 ,  3 ,  9

1t50 , A , 1 , 58 ,  7 ,  0 ,  6 ,  13 ,  26

1jya , B , 1 , 119 ,  31 ,  0 ,  7 ,  28 ,  48

2p06 , A , 1 , 82 ,  23 ,  0 ,  10 ,  23 ,  34

3g7k , C , 1 , 224 ,  75 ,  0 ,  5 ,  21 ,  40

2rff , A , 1 , 118 ,  23 ,  0 ,  10 ,  22 ,  42

1v9x , A , 1 , 114 ,  16 ,  0 ,  9 ,  12 ,  26

1p88 , A , 1 , 216 ,  90 ,  0 ,  18 ,  44 ,  81

1syx , B , 1 , 62 ,  13 ,  0 ,  11 ,  29 ,  54

2o01 , 1 , 1 , 175 ,  3 ,  0 ,  0 ,  0 ,  0

2o5h , A , 1 , 133 ,  38 ,  0 ,  16 ,  33 ,  53

1saw , B , 1 , 208 ,  88 ,  0 ,  16 ,  38 ,  71

1wzd , A , 1 , 209 ,  68 ,  0 ,  6 ,  25 ,  31

2oqz , A , 1 , 205 ,  69 ,  0 ,  10 ,  22 ,  46

1e50 , B , 1 , 130 ,  38 ,  0 ,  6 ,  24 ,  50

2ux9 , B , 1 , 71 ,  23 ,  0 ,  8 ,  21 ,  53

1v54 , L , 1 , 46 ,  10 ,  0 ,  0 ,  4 ,  8

3q6x , A , 1 , 253 ,  96 ,  0 ,  18 ,  34 ,  76

3mj0 , A , 1 , 118 ,  27 ,  0 ,  13 ,  44 ,  69

1wui , L , 1 , 532 ,  283 ,  0 ,  0 ,  4 ,  9

1l8b , B , 1 , 190 ,  59 ,  0 ,  13 ,  27 ,  53

1aho , A , 1 , 66 ,  9 ,  0 ,  8 ,  21 ,  34

3ep6 , A , 1 , 240 ,  97 ,  0 ,  5 ,  17 ,  31

1lkt , A , 1 , 104 ,  28 ,  0 ,  12 ,  18 ,  20

1unq , A , 1 , 117 ,  25 ,  0 ,  16 ,  24 ,  37

2hba , A , 1 , 52 ,  11 ,  0 ,  6 ,  20 ,  44

1lpb , A , 1 , 85 ,  14 ,  0 ,  6 ,  14 ,  34

3qy1 , A , 1 , 217 ,  91 ,  0 ,  0 ,  16 ,  44

3mol , B , 1 , 175 ,  49 ,  0 ,  12 ,  20 ,  38

1wdj , A , 1 , 186 ,  74 ,  0 ,  13 ,  36 ,  63

1sb0 , A , 1 , 87 ,  21 ,  0 ,  7 ,  20 ,  37

1jg1 , A , 1 , 215 ,  73 ,  0 ,  10 ,  34 ,  59

3pvv , A , 1 , 96 ,  28 ,  0 ,  20 ,  40 ,  79

2exf , A , 1 , 44 ,  4 ,  0 ,  1 ,  3 ,  8

1dj7 , A , 1 , 109 ,  25 ,  0 ,  9 ,  20 ,  41

2q5x , A , 1 , 151 ,  40 ,  0 ,  5 ,  21 ,  48

1v54 , I , 1 , 72 ,  12 ,  0 ,  0 ,  0 ,  1

2dpf , A , 1 , 111 ,  33 ,  0 ,  8 ,  18 ,  29

1t9i , A , 1 , 153 ,  44 ,  0 ,  4 ,  16 ,  41

1du2 , A , 1 , 76 ,  4 ,  0 ,  1 ,  3 ,  17

3c5n , A , 1 , 232 ,  67 ,  0 ,  14 ,  34 ,  59

2e6i , A , 1 , 64 ,  0 ,  0 ,  14 ,  42 ,  84

1j34 , C , 1 , 34 ,  7 ,  0 ,  5 ,  15 ,  33

2awk , A , 1 , 224 ,  78 ,  0 ,  2 ,  20 ,  38

3nx6 , A , 1 , 75 ,  12 ,  0 ,  6 ,  18 ,  29

1gvc , A , 1 , 157 ,  52 ,  0 ,  20 ,  48 ,  86

2sic , I , 1 , 107 ,  27 ,  0 ,  7 ,  24 ,  45

1kvd , B , 1 , 77 ,  29 ,  0 ,  11 ,  32 ,  51

1hh8 , A , 1 , 197 ,  58 ,  0 ,  2 ,  25 ,  48

1h3l , B , 1 , 78 ,  20 ,  0 ,  6 ,  23 ,  38

1j57 , A , 1 , 143 ,  36 ,  0 ,  14 ,  28 ,  43

1tdp , A , 1 , 111 ,  29 ,  0 ,  13 ,  40 ,  65

2wsc , N , 1 , 85 ,  3 ,  0 ,  13 ,  0 ,  2

1m1q , A , 1 , 105 ,  1 ,  0 ,  0 ,  0 ,  0

1jb0 , L , 1 , 151 ,  26 ,  0 ,  0 ,  1 ,  3

1h8g , A , 1 , 92 ,  10 ,  0 ,  2 ,  4 ,  11

3fci , A , 1 , 225 ,  75 ,  0 ,  10 ,  37 ,  56

1a3a , C , 1 , 146 ,  54 ,  0 ,  20 ,  52 ,  99

1vsr , A , 1 , 134 ,  31 ,  0 ,  6 ,  24 ,  40

3fyl , A , 1 , 75 ,  17 ,  0 ,  9 ,  23 ,  41

1tx9 , A , 1 , 141 ,  47 ,  0 ,  18 ,  43 ,  75

1daq , A , 1 , 71 ,  14 ,  0 ,  12 ,  36 ,  66

1rtq , A , 1 , 291 ,  128 ,  0 ,  16 ,  43 ,  73

1igd , A , 1 , 61 ,  10 ,  0 ,  5 ,  11 ,  28

1yu5 , X , 1 , 67 ,  9 ,  0 ,  7 ,  22 ,  38

1rv9 , A , 1 , 242 ,  89 ,  0 ,  14 ,  23 ,  69

3ctv , A , 1 , 90 ,  19 ,  0 ,  12 ,  32 ,  57

1qw2 , A , 1 , 97 ,  22 ,  0 ,  6 ,  22 ,  46

1fi8 , D , 1 , 48 ,  12 ,  0 ,  17 ,  21 ,  12

2hi6 , A , 1 , 132 ,  35 ,  0 ,  17 ,  43 ,  86

1pp0 , B , 1 , 194 ,  0 ,  0 ,  14 ,  42 ,  84

3hht , A , 1 , 201 ,  90 ,  0 ,  0 ,  17 ,  17

2p3x , A , 1 , 339 ,  127 ,  0 ,  7 ,  22 ,  39

1gs5 , A , 1 , 258 ,  88 ,  0 ,  14 ,  25 ,  47

1mkk , B , 1 , 94 ,  15 ,  0 ,  1 ,  4 ,  11

1tx4 , A , 1 , 196 ,  63 ,  0 ,  7 ,  29 ,  48

1icf , I , 1 , 65 ,  14 ,  0 ,  5 ,  11 ,  27

1mvf , D , 1 , 44 ,  14 ,  0 ,  8 ,  16 ,  30

1wn9 , A , 1 , 123 ,  40 ,  0 ,  25 ,  46 ,  92

1tba , A , 1 , 67 ,  20 ,  0 ,  9 ,  14 ,  44

1a1x , A , 1 , 106 ,  18 ,  0 ,  15 ,  27 ,  43

1tig , A , 1 , 88 ,  18 ,  0 ,  7 ,  25 ,  49

1huf , A , 1 , 123 ,  34 ,  0 ,  15 ,  34 ,  66

3ak8 , F , 1 , 164 ,  77 ,  0 ,  6 ,  31 ,  66

1cmb , A , 1 , 104 ,  29 ,  0 ,  9 ,  24 ,  35

3p1f , A , 1 , 119 ,  0 ,  0 ,  6 ,  18 ,  36

1xly , A , 1 , 224 ,  83 ,  0 ,  0 ,  15 ,  33

1ejg , A , 1 , 55 ,  6 ,  0 ,  6 ,  18 ,  33

1jjd , A , 1 , 52 ,  6 ,  0 ,  5 ,  14 ,  25

1cl8 , A , 1 , 261 ,  71 ,  0 ,  0 ,  14 ,  32

2zib , A , 1 , 132 ,  31 ,  0 ,  17 ,  41 ,  76

1ucd , A , 1 , 190 ,  58 ,  0 ,  8 ,  30 ,  53

1wj0 , A , 1 , 58 ,  9 ,  0 ,  8 ,  25 ,  39

1d4u , A , 1 , 111 ,  16 ,  0 ,  3 ,  9 ,  21

1f08 , B , 1 , 145 ,  43 ,  0 ,  20 ,  37 ,  73

1edx , A , 1 , 40 ,  4 ,  0 ,  4 ,  12 ,  24

3bdf , B , 1 , 451 ,  211 ,  0 ,  4 ,  10 ,  19

1jh6 , A , 1 , 181 ,  57 ,  0 ,  3 ,  23 ,  46

1nyn , A , 1 , 111 ,  14 ,  0 ,  0 ,  20 ,  40

1d8h , A , 1 , 288 ,  86 ,  0 ,  2 ,  5 ,  16

1xd3 , C , 1 , 243 ,  91 ,  0 ,  20 ,  41 ,  65

3b8p , B , 1 , 173 ,  35 ,  0 ,  0 ,  7 ,  43

1wn2 , A , 1 , 118 ,  32 ,  0 ,  13 ,  38 ,  79

1vhu , A , 1 , 187 ,  71 ,  0 ,  17 ,  50 ,  78

2b49 , A , 1 , 277 ,  93 ,  0 ,  13 ,  30 ,  57

1euw , A , 1 , 147 ,  29 ,  0 ,  4 ,  32 ,  44

1nnh , A , 1 , 293 ,  93 ,  0 ,  4 ,  16 ,  31

3c7x , A , 1 , 196 ,  55 ,  0 ,  16 ,  37 ,  67

1e0g , A , 1 , 48 ,  7 ,  0 ,  6 ,  19 ,  39

1qhh , C , 1 , 102 ,  24 ,  0 ,  0 ,  7 ,  18

1k5c , A , 1 , 336 ,  124 ,  0 ,  1 ,  12 ,  28

1v6p , A , 1 , 74 ,  9 ,  0 ,  6 ,  15 ,  29

1d9n , A , 1 , 75 ,  9 ,  0 ,  3 ,  12 ,  19

3sj5 , A , 1 , 195 ,  42 ,  0 ,  2 ,  13 ,  21

3n2w , D , 1 , 368 ,  189 ,  0 ,  6 ,  15 ,  37

1p32 , C , 1 , 176 ,  52 ,  0 ,  0 ,  9 ,  30

1ymt , A , 1 , 268 ,  63 ,  0 ,  5 ,  18 ,  24

